title,vendor,sale_price_usd,original_price_usd,discount_rate,sale_price_jpy,shipping_jpy,customs_jpy,consumption_tax_jpy,total_cost_jpy,suggested_buyma_price_jpy,estimated_profit_jpy,image_url,product_url
"Mame Weekend Shoulder Bag","BENEDETTA BRUZZICHES",1841,1841,,294008,3000,29701,32671,359380,422800,63420,"https://cdn.shopify.com/s/files/1/0892/3951/9572/files/C70C8F15-9581-46D3-A250-2E42A591E0BA.jpg?v=1772239753","https://www.baseblu.com/en-us/products/mame-weekend"
"Lavallière Neckline Blouse","ALAÏA",1171,1171,,187009,3000,19001,20901,229911,270500,40589,"https://cdn.shopify.com/s/files/1/0892/3951/9572/files/D58F1F2F-B57B-4230-9B08-CF8F7DDD81C6.jpg?v=1772236705","https://www.baseblu.com/en-us/products/scarf-blouse"
"The Serenade Dress","PETAR PETROV",938.61,1716.64,45.3,149896,3000,15290,16819,185005,217700,32695,"https://cdn.shopify.com/s/files/1/0892/3951/9572/files/51843935-9EC2-49AA-8AE9-B0FC11BD1F97_c0eb9c18-cd91-4f5b-94c1-fbe50574d172.jpg?v=1772288399","https://www.baseblu.com/en-us/products/full-length-shirt-dress"
"Zipped Cape","AFTERCOAT",917.37,1740.61,47.3,146504,3000,14950,16445,180899,212800,31901,"https://cdn.shopify.com/s/files/1/0892/3951/9572/files/27BC5BB3-2183-4348-9FE8-6F08157D0E6A.jpg?v=1772040694","https://www.baseblu.com/en-us/products/double-face-coat-1"
"Double-breasted long Coat","AFTERCOAT",819.69,1553.61,47.2,130904,3000,13390,14729,162023,190600,28577,"https://cdn.shopify.com/s/files/1/0892/3951/9572/files/2CBDA6D3-CA2D-4A01-AEBF-3C77498465B2.jpg?v=1772039878","https://www.baseblu.com/en-us/products/double-face-egg-shape-coat"
"Long robe Coat","AFTERCOAT",814.03,1544.01,47.3,130001,3000,13300,14630,160931,189300,28369,"https://cdn.shopify.com/s/files/1/0892/3951/9572/files/ECFF21A2-0ABD-4FD6-8683-EBA137D09967.jpg?v=1772040704","https://www.baseblu.com/en-us/products/long-robe-coat"
"Double-Breasted Blazer","AFTERCOAT",777.22,1476.89,47.4,124122,3000,12712,13983,153817,181000,27183,"https://cdn.shopify.com/s/files/1/0892/3951/9572/files/4DF26CBF-544E-46B3-90E8-8155D68FB38B.jpg?v=1775153525","https://www.baseblu.com/en-us/products/blazer-jacket-79"
"Tailored Pants","GIVENCHY",762.09,1294.68,41.1,121706,3000,12471,13718,150895,177500,26605,"https://cdn.shopify.com/s/files/1/0892/3951/9572/files/C642D0B5-6650-47BB-AD14-D0F16FC2F149.jpg?v=1772256207","https://www.baseblu.com/en-us/products/cocoon-pants"
"Bootcut tailoring Pants","GIVENCHY",705.49,1198.77,41.1,112667,3000,11567,12723,139957,164700,24743,"https://cdn.shopify.com/s/files/1/0892/3951/9572/files/1167A53A-DCB0-4813-A7D4-32BBF4C3BB37_37e4beb7-c66c-44ea-997e-731b1a1c803c.jpg?v=1772256783","https://www.baseblu.com/en-us/products/bootcut-tailoring-pants"
"Bogart Pants","SA SU PHI",690.3,1294.68,46.7,110241,3000,11324,12457,137022,161200,24178,"https://cdn.shopify.com/s/files/1/0892/3951/9572/files/31C91550-8918-4F56-8B9C-5F12C9D96B29.jpg?v=1756827041","https://www.baseblu.com/en-us/products/bogart-trousers"
