順位,商品名,ブランド,仕入れ原価(円),BUYMA出品数(ブランド全体),競合区分,価格倍率,推奨出品価格(円),実利益(手数料15%差引後)(円),利益率,備考
1,Mame Weekend Shoulder Bag,BENEDETTA BRUZZICHES,359380,145件,競合少,1.5x,539100,98855,27.5%,下書き保存済み(¥422800)→要更新
2,Lavallière Neckline Blouse,ALAÏA,229911,9288件,競合多,1.5x,344900,63254,27.5%,
3,The Serenade Dress,PETAR PETROV,185005,10件,準独占,1.8x,333000,98045,53.0%,
4,Zipped Cape,AFTERCOAT,180899,未登録,独占,1.8x,325600,95861,53.0%,
5,Double-breasted long Coat,AFTERCOAT,162023,未登録,独占,1.8x,291600,85837,53.0%,
6,Long robe Coat,AFTERCOAT,160931,未登録,独占,1.8x,289700,85314,53.0%,
7,Double-Breasted Blazer,AFTERCOAT,153817,未登録,独占,1.8x,276900,81548,53.0%,
8,Tailored Pants,GIVENCHY,150895,23261件,競合多,1.5x,226300,41460,27.5%,
9,Bootcut tailoring Pants,GIVENCHY,139957,23261件,競合多,1.5x,209900,38458,27.5%,
10,Bogart Pants,SA SU PHI,137022,113件,競合少,1.5x,205500,37653,27.5%,
11,Jolie Blazer,DI STAVNITSER,127684,未登録,独占,1.8x,229800,67646,53.0%,
12,Cargo Pants,GIVENCHY,111678,23261件,競合多,1.5x,167500,30697,27.5%,
13,Zoe Anorak Jacket,MARBELL,98870,未登録,独占,1.8x,178000,52430,53.0%,
14,Sleevless Top,SA SU PHI,77263,113件,競合少,1.5x,115900,21252,27.5%,
15,Alpaca T-Shirt,HAIKURE,59668,655件,競合多,1.5x,89500,16407,27.5%,
16,Grace Wide 5 Pocket Jeans,JACOB COHEN,40712,1034件,競合多,1.5x,61100,11223,27.5%,
17,Kick Boot Jeans stencil color,AGOLDE,39112,1154件,競合多,1.5x,58700,10783,27.5%,
18,Tie Belt,DI STAVNITSER,38312,未登録,独占,1.8x,69000,20338,53.0%,
19,Virgin wool Pants,CRUNA,29242,未登録,独占,1.8x,52600,15468,53.0%,
20,Pleated Pants,THE LATEST,28975,未登録,独占,1.8x,52200,15395,53.0%,
